carbohydrate,protein,fat,salt
97,31,20,1174
63,18,9,1040
37,13,16,1291
60,9,19,1011
56,15,11,860
48,16,22,906
44,6,5,387
29,6,2,420
90,16,8,1250
54,17,7,911
76,22,16,1277
70,25,18,1234
93,35,29,1264
37,11,13,1213
66,50,13,1348
88,19,16,1363
53,11,9,936
59,14,7,887
76,9,20,1056
63,13,19,1017
69,32,20,804
63,8,5,1059
56,15,5,877
49,22,24,877
53,11,13,918
57,15,11,873
59,11,9,1093
52,13,9,849
38,4,4.5,416
36,9,20,403
46,10,12,411
80,15,10,973
82,16,17,854
111,11,12,996
105,16,13,889
48,9,13,1008
25,4,7,404
33,5,2.4,395
36,5,5,399
35,5,5,382
30,4,6,387
42,5,3.8,411
42,6,8,388
80,16,10,1059
78,23,17,972
76,13,47,821
75,16,23,976
77,18,16,1016
84,17,21,801
84,12,8,970
67,10,6,858
66,9,14,987
72,7,4.9,1084
61,6,4.7,860
63,12,10,934
47,7,4.1,415
79,14,26,968
73,13,24,909
235,59,47,1054
60,7,17,387
109,10,9,966
76,12,12,819
80,15,15,933
66,20,31,1065
57,11,12,908
62,13,12,821
61,13,9,800
80,18,14,1088
70,8,17,1081
68,13,15,1032
85,16,21,1076
52,13,30,879
70,17,14,819
82,16,17,1053
76,17,31,878
57,15,11,921
76,10,18,810
82,16,19,1075
75,21,22,953
47,7,7,415
55,15,9,848
79,16,12,982
79,15,14,945
49,11,20,867
56,12,9,809
60,10,8,890
62,13,11,928
70,13,10,1046
75,23,17,821
40,5,9,394
46,10,12,390
40,6,2.4,407
53,15,13,852
58,12,4.97,1048
58,12,14,1062
50,10,6,965
45,10,12,946
58,11,11,843
62,12,8,1045
62,12,13.24,838
57,14,18,1069
70,14,30,913
74,19,13,1008
36,4,2.1,405
60,10,2.7,900
72,7,11,398
54,10,6,1030
60,12,6,910
52,11,10,883
64,11,19,1014
49,8,12,1062
63,12,7,1008
54,15,23,1050
57,17,11,1090
54,10,5,1074
26,3,10,410
25,3,8,413
35,8,2.5,409
33,6,5,391
49,7,4,410
64,9,2.6,963
50,12,8,996
58,12,7,1073
46,8,9,853
59,5,9,418
54,10,8,839
56,13,10,1005
73,13,5,990
71,11,3.9,419
58,13,8,894
58,12,9,1038
69,13,6,1039
50,9,8,1047
51,10,13,891
62,8,3.75,1099
27,3,4.9,389
30,5,3.3,405
26,5,6,410
28,3,6,413
33,6,2.7,405
36,3,3,402
34,6,4,386
28,5,4,398
33,5,4,404
34,5,6,406
33,4,4.4,400
37,11,5,388
52,12,3.9,400
52,8,2.4,388
46,7,14,397
33,9,10,990
62,6,4.9,411
52,6,3.2,1052
47,7,8,1099
51,9,5,982
46,10,9,893
60,7,7,396
48,13,11,956
52,11,15,977
41,7,23,1074
58,8,6,920
49,10,9,837
62,14,13,806
63,16,12,987
81,15,6,911
72,14,20,1070
34,4,3.24,403
32,4,2.1,413
28,4,6,402
31,4,6,394
34,7,6,401
26,5,7,415
26,3,8,396
30,4,7,395
30,4,4.9,393
24,4,5,388
32,5,3.4,399
36,6,2.9,384
38,4,4.5,386
40,4,3,416
51,8,2.3,388
51,8,2.3,394
45,6,8,419
42,8,9,393
44,9,6,1019
51,8,3,1027
42,8,13,860
41,9,19,804
41,17,13,1038
47,9,15,882
58,10,14,1030
46,10,25,1091
49,14,11,1059
59,14,7,1057
48,13,12,880
55,13,9,1042
58,10,10,920
55,13,12,1030
50,11,8,872
68,13,17,899
36,5,1.27,393
58,11,7.51,1085
33,4,1.8,380
30,4,4,394
29,5,6,380
30,5,4.4,403
38,4,2,407
34,5,3.8,403
28,6,6,396
26,5,9,387
30,3,8,411
34,4,2.7,409
30,5,8,384
28,5,6,403
32,5,3.6,414
28,6,5,396
32,7,3.5,403
32,7,0,412
33,6,3.9,415
33,6,3.7,392
32,10,4.5,385
26,9,8,400
33,5,7,409
38,5,10,388
30,9,12,412
42,9,9,419
49,6,8,388
36,9,20,397
53,7,7,1063
52,6,11,412
37,11,13,1001
51,9,8,1017
63,14,6,886
51,16,11,940
56,10,19,912
57,10,4.8,828
43,16,12,943
59,11,9,910
61,15,11,867
25,9,3.6,382
27,10,3.1,388
30,4,4.8,398
34,4,4.1,385
27,5,6,390
31,4,5,415
32,4,6,404
36,5,2.5,403
35,4,4.2,390
33,7,4.5,399
29,6,8,402
53,11,13,977
90,11,7,405
80,16,24,805
29,6,7,388
46,10,12,393
52,6,11,380
36,9,20,409
43,9,11,380
38,4,4.5,399
42,8,9,407
54,10,10,1004
48,9,13,858
33,5,7,391
53,11,13,1073
49,6,8,391
37,11,5,948
31,5,9,383
52,11,10,1017
34,6,4,383
52,13,9,1030
51,8,2.3,387
33,5,1.9,406
49,7,7,388
58,11,6.2,1017
56,15,5,1032
33,7,4.5,398
60,10,8,819
38,5,5,418
31.93,3.9,2.39,420
32.25,4.27,2.68,417
33.39,3.19,2.37,413
27.1,3.68,3.68,1012
31.67,3.94,2.16,393
25.39,4.88,3.65,852
60.75,11.25,5.85,392
53.4,10.68,10.68,860
25.68,4.75,2.48,980
31.05,4.14,1.48,380
28.08,5.14,3.35,409
50,12,4.4,891
27.2,3.91,1.97,1053
29.42,4.3,1.73,409
45.4,5.9,4.3,978
30.75,3.66,2.27,397
29.29,3.66,4.64,405
25.49,4.08,3.39,801
25.19,4.24,2.94,933
21.15,4.86,5.56,954
21.61,3.62,1.74,1097
27.8,45.4,23,1096
24.9,50.2,19.5,1004
25.7,43.3,27.9,1025
68,11,23,902
59,16,42,816
20,6,12,1027
17,7,8,830
34,17,14,977
42,5,21,932
27,5,11,886
28,5,10,838
27,6,9,886
27,6,12,926
38,19,29,878
45,7,11,900
27,6,6,909
43,7,10,839
31,9,15,843
43,8,18,1052
57,9,23,1021
62,9,22,1099
62,10,26,1052
57,18,16,1031
60,18,17,908
85,20,64,1024
52,11,19,1066
48,11,30,986
41,10,16,883
54,11,23,899
